Zellenform,Zellengroesse,Fuellgrad,Maximale Kraft
2,2.0,0.33,129.504
1,3.0,0.3,40.995
2,2.5,0.37,154.863
1,3.4,0.25,16.521
2,9.0,0.35,128.271
2,4.0,0.15,20.07
2,9.8,0.23,6.963
2,8.4,0.19,41.37
1,4.7,0.28,29.424
1,6.0,0.35,90.147
1,4.5,0.21,8.055
2,5.0,0.4,112.947
1,2.25,0.32,41.064
1,10.0,0.3,65.982
1,4.6,0.36,87.312
1,6.7,0.22,12.528
2,1.75,0.4,203.607
1,8.0,0.4,166.776
1,10.0,0.2,15.225
2,4.6,0.16,26.145
2,5.8,0.18,33.999
1,3.5,0.35,68.163
1,5.5,0.34,72.432
2,5.0,0.2,44.919
2,2.75,0.21,45.123
1,6.25,0.2,6.588
1,5.1,0.26,22.116
1,4.5,0.25,17.511
1,9.6,0.26,38.979
2,2.5,0.27,80.352
1,7.4,0.27,28.98
1,3.5,0.3,34.713
1,9.0,0.25,29.013
2,7.6,0.36,96.288
1,5.4,0.22,9.627
2,4.5,0.1,7.032
1,9.0,0.35,93.834
1,8.0,0.2,9.726
2,5.75,0.22,47.376
2,5.25,0.12,11.739
1,6.5,0.32,59.256
1,4.0,0.2,6.078
2,3.5,0.16,24.234
2,7.7,0.16,27.306
1,2.75,0.37,83.73
1,10.0,0.38,104.004
2,8.0,0.25,71.751
1,6.7,0.29,40.038
1,6.5,0.25,21.672
2,6.3,0.21,47.376
1,6.5,0.4,163.227
1,5.0,0.3,50.313
1,4.0,0.28,28.809
1,4.3,0.33,58.23
2,5.2,0.37,151.074
1,5.0,0.2,7.44
2,9.5,0.3,72.258
2,6.2,0.13,16.554
2,2.8,0.16,25.533
2,3.0,0.3,97.005
1,7.7,0.23,16.077
2,2.5,0.24,63.591
1,6.7,0.37,119.124
2,5.9,0.38,128.1
2,3.5,0.2,41.745
2,8.0,0.12,13.584
2,10.0,0.4,68.541
1,5.8,0.23,14.133
2,2.0,0.22,36.558
1,9.2,0.39,102.843
2,3.8,0.13,14.403
2,6.5,0.25,71.544
2,6.25,0.17,29.901
1,7.5,0.35,84.753
2,8.2,0.31,62.601
2,4.5,0.27,78.405
2,5.5,0.3,93.867
2,7.0,0.22,51.747
1,3.8,0.21,7.2
1,5.25,0.4,155.103
2,5.4,0.23,56.421
1,3.3,0.39,112.026
1,7.3,0.31,49.767
1,2.0,0.4,142.2
1,8.0,0.25,25.257
1,9.0,0.22,16.692
2,3.1,0.26,70.212
2,7.2,0.3,9.762
2,4.8,0.33,120.765
2,5.1,0.27,80.316
2,3.3,0.38,156.468
1,8.2,0.32,72.294
2,4.0,0.35,130.764
2,4.15,0.17,27.783
1,4.0,0.4,147.933
2,3.6,0.24,58.026
1,7.0,0.25,20.514
2,9.0,0.15,29.082
